0001	Jobe kun yeabean icha. 	Este día es muy frío.
0002	Zangatan cheʼet ama tuʼu ñeʼe yabi.	El coyote se comió a mi pollo anoche.
0003	Uun koʼo kua ñu. 	Yo voy a pizcar mazorcas.
0004	Né neʼe iñuun yeabean nda jeʼe. 	El mole de guajolote es muy rico.
0005	Chidan bitió cheʼeñ guay noʼo ño iñu. 	Mi papá fue por leña a tierra caliente. 
0006	Yana ñeʼen chenet ama chikuu.	Mi perro mordió a una abuela. 
0007	Kanud stébe ñeʼe.	Estás en mi corazón.
0008	Neʼe dí.	Te quiero.
0009	Gua tika díd nuku.	No me hagas eso .
0010	Tochi cheʼë kuete ndaka ama kuchi nu̱ni.	Cuando fui al campo encontré a un tepezcuintle.
0011	Kabión koʼo kuá ñú nuku iña ñeʼe.	Mañana iré a pizcar mazorca con mi familia.
0012	No kaka ñeʼen gua nöo chi jobe.	En mi acta no está bien mi nombre.
0013	Numi tiï tilï ñeʼe bitio ku. 	Trence a mi niña pequeña esta mañana. 
0014	Cheʼë cheʼe yuntu bakú chikuʼu.	Fui a comer tortilla a la casa de mi abuela. 
0015	Dina betea yadi nuku chakú, nuku chikuʼu. 	Preparé tamales dulces con mi mamá y mi abuela.
0016	Yeabean ndea jeʼe it cheanu. 	El venado es muy rico.
0017	Chaku jeʼeñ junikuy nʼiba.	Mi mamá va a vender al mercado.
0018	Gua eanu dí.	No me gustas.
0019	Neʼe kutoʼo inu ú.	Me quiere dar gripa.
0020	Neʼe kuʼu nʼtú yadi.	Quiero tomar atole dulce.
0021	Ñoo bakun jiʼiy ntú yo̱o̱. 	En mi comunidad toman atole agrío. 
0022	Ntú yo̱o̱ jina nuku yudi.	El atole agrio se prepara con elotes. 
0023	Dinad ama né ñeʼe tuú.	Has un mole de pollo.
0024	Chidan chichii ñoʼo no ñoʼö ñeʼëñ.	Mi papá sembró árboles en su terreno. 
0025	Chinu ama baʼa yeabea ñeʼe.	Construí una bonita casa para mí. 
0026	Koʼo dí ntiñu Ndoba.	Voy a trabajar a Oaxaca.
0027	Yeabean kani jinejus.	Anota muy rápido.
0028	Yeabean kani jinutis. 	Memoriza muy rápido.
0029	Gua neʼe kantaá.	No quiero problemas.
0030	Sankon eanus jiʼis.	A él le gusta tomar.
0031	Kanuʼnuu ú yabi. 	Se me subio el muerto anoche. 
0032	Soʼö ñeʼe Jinguyu sndus yuduu ñeʼes.	Los hombres de México montan sus caballos.
0033	Kunud nuni kuna.	Pon agua para bañarme.
0034	Inu iñuu daʼa too chinot ú yuni. 	Me corretearon tres guajolotes bravos en el camino.
0035	Kanu ama ña bö nanta ñeʼe.	Hay una abeja entre mis flores.
0036	Din jad ama baʼa.	Tu compraste una casa.
